,Topic 0 words,Topic 0 weights,author_title
160,lulać,31.0,maryla_rodowicz-kolysanka_murzynska
161,has,5.0,maryla_rodowicz-kolysanka_murzynska
162,czarnya,5.0,maryla_rodowicz-kolysanka_murzynska
163,synek,4.0,maryla_rodowicz-kolysanka_murzynska
164,taniec,3.0,maryla_rodowicz-krolewskie_obietnice
165,dać,3.0,maryla_rodowicz-krolewskie_obietnice
166,król,3.0,maryla_rodowicz-krolewskie_obietnice
167,chcieć,3.0,maryla_rodowicz-krolewskie_obietnice
168,żyć,8.0,maryla_rodowicz-nietolerancja
169,blizna,7.0,maryla_rodowicz-nietolerancja
170,zachłysnąć,5.0,maryla_rodowicz-nietolerancja
171,wolnov,3.0,maryla_rodowicz-nietolerancja
172,jechać,8.0,maryla_rodowicz-pszczoly_na_wrotkach
173,hej,6.0,maryla_rodowicz-pszczoly_na_wrotkach
174,pszczoła,6.0,maryla_rodowicz-pszczoly_na_wrotkach
175,pszczółka,5.0,maryla_rodowicz-pszczoly_na_wrotkach
176,bu,17.0,maryla_rodowicz-buty_dwa
177,but,8.0,maryla_rodowicz-buty_dwa
178,prawya1,5.0,maryla_rodowicz-buty_dwa
179,lewya,5.0,maryla_rodowicz-buty_dwa
180,liście,11.0,maryla_rodowicz-listopady_lisci
181,gasnąć,9.0,maryla_rodowicz-listopady_lisci
182,listopad,9.0,maryla_rodowicz-listopady_lisci
183,łza,9.0,maryla_rodowicz-listopady_lisci
184,rama,13.0,maryla_rodowicz-przyspiewki_hinduskie
185,latać,11.0,maryla_rodowicz-przyspiewki_hinduskie
186,kogut,8.0,maryla_rodowicz-przyspiewki_hinduskie
187,skakać,7.0,maryla_rodowicz-przyspiewki_hinduskie
188,obcya,3.0,maryla_rodowicz-bar_przed_zakretem
189,zbędny,3.0,maryla_rodowicz-bar_przed_zakretem
190,późno,3.0,maryla_rodowicz-bar_przed_zakretem
191,sen,3.0,maryla_rodowicz-bar_przed_zakretem
192,rok,56.0,maryla_rodowicz-urodzajny_rok
193,dać,13.0,maryla_rodowicz-urodzajny_rok
194,urodzajny,8.0,maryla_rodowicz-urodzajny_rok
195,skok,6.0,maryla_rodowicz-urodzajny_rok
196,patataj,49.0,maryla_rodowicz-diabel_i_raj
197,naja,13.0,maryla_rodowicz-diabel_i_raj
198,diabeł,9.0,maryla_rodowicz-diabel_i_raj
199,raj,9.0,maryla_rodowicz-diabel_i_raj
200,liebe,27.0,ich_troje-liebe_macht_spass
201,macht,22.0,ich_troje-liebe_macht_spass
202,undy,15.0,ich_troje-liebe_macht_spass
203,nanananana,14.0,ich_troje-liebe_macht_spass
204,twója,4.0,ich_troje-zawsze_pojde_w_twoja_strone
205,pójść,4.0,ich_troje-zawsze_pojde_w_twoja_strone
206,strona,3.0,ich_troje-zawsze_pojde_w_twoja_strone
207,zgubić,3.0,ich_troje-zawsze_pojde_w_twoja_strone
208,wchodzić,10.0,ich_troje-wchodze_za_wszystko
209,chcieć,7.0,ich_troje-wchodze_za_wszystko
210,kochać,6.0,ich_troje-wchodze_za_wszystko
211,bliskod,4.0,ich_troje-wchodze_za_wszystko
212,you,17.0,ich_troje-jeanny_part_4
213,where,13.0,ich_troje-jeanny_part_4
214,now,12.0,ich_troje-jeanny_part_4
215,are,12.0,ich_troje-jeanny_part_4
216,braćs,10.0,ich_troje-za_oknem
217,gnać,10.0,ich_troje-za_oknem
218,mama,10.0,ich_troje-za_oknem
219,dzień,8.0,ich_troje-za_oknem
220,zatańczyć,13.0,ich_troje-tango_straconych
221,raz,13.0,ich_troje-tango_straconych
222,bić,7.0,ich_troje-tango_straconych
223,tango,7.0,ich_troje-tango_straconych
224,raz,4.0,ich_troje-jeszcze_tylko_raz
225,znaćv,3.0,ich_troje-jeszcze_tylko_raz
226,wielkia,3.0,ich_troje-jeszcze_tylko_raz
227,mieć,3.0,ich_troje-jeszcze_tylko_raz
228,dać,12.0,ich_troje-nur_mit_dir
229,du,11.0,ich_troje-nur_mit_dir
230,nur,10.0,ich_troje-nur_mit_dir
231,bist,9.0,ich_troje-nur_mit_dir
232,wstydv,22.0,ich_troje-mlodosc_to_nie_wstyd
233,młodya,5.0,ich_troje-mlodosc_to_nie_wstyd
234,złya,5.0,ich_troje-mlodosc_to_nie_wstyd
235,dzień,5.0,ich_troje-mlodosc_to_nie_wstyd
236,noc,10.0,ich_troje-kot
237,wiedzieć,8.0,ich_troje-kot
238,aaaaaaa,4.0,ich_troje-kot
239,bawić,4.0,ich_troje-kot
240,mója,9.0,"ich_troje-powiedz,_ze_mnie_kochasz"
241,powiedzieć,8.0,"ich_troje-powiedz,_ze_mnie_kochasz"
242,łza,5.0,"ich_troje-powiedz,_ze_mnie_kochasz"
243,marzenia,4.0,"ich_troje-powiedz,_ze_mnie_kochasz"
244,zostać,6.0,ich_troje-gwiazdor
245,scena,5.0,ich_troje-gwiazdor
246,śnić,5.0,ich_troje-gwiazdor
247,jazda,4.0,ich_troje-gwiazdor
248,wszytkich,3.0,ich_troje-overt_replay
249,ponoć,3.0,ich_troje-overt_replay
250,pociecha,3.0,ich_troje-overt_replay
251,obosieczny,3.0,ich_troje-overt_replay
252,grosz,7.0,ich_troje-rozalia
253,obieg,7.0,ich_troje-rozalia
254,braćv,5.0,ich_troje-rozalia
255,lubya,5.0,ich_troje-rozalia
256,dzień,8.0,ich_troje-no_jak
257,słowo,6.0,ich_troje-no_jak
258,oddać,6.0,ich_troje-no_jak
259,wiedzieć,5.0,ich_troje-no_jak
260,keine,7.0,ich_troje-keine_grenzen
261,dort,7.0,ich_troje-keine_grenzen
262,oben,7.0,ich_troje-keine_grenzen
263,von,6.0,ich_troje-keine_grenzen
264,uśpić,5.0,ich_troje-rad_slucham
265,złya,5.0,ich_troje-rad_slucham
266,kiecka,5.0,ich_troje-rad_slucham
267,iłs2,3.0,ich_troje-rad_slucham
268,para,7.0,ich_troje-czekanie
269,obudzić,6.0,ich_troje-czekanie
270,cud,5.0,ich_troje-czekanie
